Functional Description,Method Name
handles the window closing event by invoking the window closing methods on listener - a and listener - b   ,windowClosing
removes the specified image from the specified tracking id of this media tracker   ,removeImage
deprecated replaced by add string   ,addItem
"has no effect , since this layout manager does not use a per - component string   ",addLayoutComponent
"returns the samples in a specified band for the specified rectangle of pixels in an int array , one sample per data array element   ",getSamples
returns the number of bits per sample for all bands   ,getSampleSize
reads a 64 bit long   ,readLong
returns true if the current child of this object is selected   ,isAccessibleChildSelected
sets a hint for this image about how important acceleration is   ,setAccelerationPriority
returns true if the calling thread is the current awt event queue ' s dispatch thread   ,isDispatchThread
returns the number of source images   ,getNumSources
returns the pixel bounds of this glyph vector when rendered in a graphics with the given font render context at the given location   ,getPixelBounds
returns a shape representing the caret at the specified hit inside the natural bounds of this text layout   ,getCaretShape
returns the writable raster   ,getRaster
sets the horizontal gap between components   ,setHgap
returns the baseline for this text layout   ,getBaseline
returns an integer pixel in the default rgb color model type int argb and default srgb colorspace   ,getRgb
invoked when the mouse enters a component   ,mouseEntered
compares this shape graphic attribute to the specified object   ,equals
returns the print job object from which this print graphics object originated   ,getPrintJob
determines if the applet is active   ,isActive
"returns whether this window can become the focused window , that is , whether this window or any of its subcomponents can become the focus owner   ",isFocusableWindow
determines whether or not this rectangle and the specified rectangle intersect   ,intersects
"the object implements the read external method to restore its contents by calling the methods of data input for primitive types and read object for objects , strings and arrays   ",readExternal
returns the color c2 anchored by the point p2   ,getColor2
returns the timestamp of when this event occurred   ,getWhen
converts the buffer ' s contents into a string by decoding the bytes using the named charset   ,toString
returns the hash code for this insets   ,hashCode
this method sets the current actions acceptable to this drop target   ,setTargetActions
returns an array of all the window focus listeners registered on this window   ,getWindowFocusListeners
registers the specified image consumer object as a consumer and starts an immediate reconstruction of the image data which will then be delivered to this consumer and any other consumer which might have already been registered with the producer   ,startProduction
gets the number of committed characters in the text   ,getCommittedCharacterCount
gets all of the drag source motion listeners registered with this drag source   ,getDragSourceMotionListeners
returns the last component in the traversal cycle   ,getLastComponent
"returns the permanent focus owner , if the permanent focus owner is in the same context as the calling thread   ",getPermanentFocusOwner
lays out the specified container using this grid bag layout   ,layoutContainer
reads four input bytes and returns a float value   ,readFloat
gets the vertical gap between components and between the components and the borders of the container   ,getVgap
"returns a float array of length 3 containing the x , y , and z components of the media white point tag in the icc profile   ",getMediaWhitePoint
determines if the specified item in this scrolling list is selected   ,isIndexSelected
returns whether this object can accept focus or not   ,isFocusTraversable
writes a 32 bit int   ,writeInt
returns an extended key code for a unicode character   ,getExtendedKeyCodeForChar
sets the propagation id object for the event   ,setPropagationId
processes events on this check box menu item   ,processEvent
returns an array of all the property change listeners registered on this component   ,getPropertyChangeListeners
"creates a raster based on a banded sample model with the specified data type , width , height , scanline stride , bank indices and band offsets   ",createBandedRaster
"this method returns the component that is to be "" observed "" by the drag gesture recognizer for drag initiating gestures   ",getComponent
instantiate the java bean named as a child of this bean context   ,instantiateChild
"the object implements the write external method to save its contents by calling the methods of data output for its primitive values or calling the write object method of object output for objects , strings , and arrays   ",writeExternal
a convenience method to return a parameter as a byte   ,getByteParameter
adds the specified bean context membership listener to receive bean context membership events from this bean context whenever it adds or removes a child components   ,addBeanContextMembershipListener
replaces an object in the list of parameters with a long   ,set
returns the hashcode for this ellipse2d   ,hashCode
prepares an image for rendering on this component at the specified width and height   ,prepareImage
returns the scanline stride of this component sample model   ,getScanlineStride
returns the limit of miter joins   ,getMiterLimit
this method returns an int representing the action performed by the target on the subject of the drop   ,getDropAction
gets the accessible context associated with this checkbox menu item   ,getAccessibleContext
sets the default focus traversal keys for a given traversal operation   ,setDefaultFocusTraversalKeys
returns the current paint of the graphics2d context   ,getPaint
returns an array of all the vetoable change listeners registered on this keyboard focus manager   ,getVetoableChangeListeners
returns the start point   ,getP1
returns an accessible representing the specified selected child in the object   ,getAccessibleSelection
sets the horizontal gap between components to the specified value   ,setHgap
adds the specified drag source motion listener to this drag source to receive drag motion events during drag operations intiated with this drag source   ,addDragSourceMotionListener
returns the bounds of the splash screen window as a rectangle   ,getBounds
"enter full - screen mode , or return to windowed mode   ",setFullScreenWindow
reports whether or not this drop target is currently active ready to accept drops   ,isActive
transforms a color value assumed to be in this color space into a value in the default cs srgb color space   ,toRgb
shows or hides this window depending on the value of parameter b   ,setVisible
returns the portion of the text that is selected   ,getSelectedText
"creates a sample model with the specified width and height , that has a data layout compatible with this color model   ",createCompatibleSampleModel
returns the color of a pixel at the given screen coordinates   ,getPixelColor
gets the array of children affected by this event   ,iterator
"solves the quadratic whose coefficients are in the eqn array and places the non - complex roots back into the same array , returning the number of roots   ",solveQuadratic
this method gets called when a constrained property is changed   ,vetoableChange
gets the java awt component associated with this bean context child   ,getComponent
gets the vertical gap between components   ,getVgap
makes this container displayable by connecting it to a native screen resource   ,addNotify
gets the bean context associated with this event   ,getBeanContext
returns the y coordinate of the second control point in double precision   ,getCtrlY2
sets the position of the text insertion caret   ,setCaretPosition
"returns the focused window , even if the calling thread is in a different context than the focused window   ",getGlobalFocusedWindow
set the object to be customized   ,setObject
returns a shared instance of an awt key stroke that represents a key typed event for the specified character   ,getAwtkEyStroke
"specifies whether , for jobs using these attributes , the application should print all pages , the range specified by the return value of get page ranges , or the current selection   ",setDefaultSelection
filters an index color model object by running each entry in its color tables through the filter rgb function that rgb image filter subclasses must provide   ,filterIndexColorModel
rotates the scroll wheel on wheel - equipped mice   ,mouseWheel
see the general contract of the read fully method of data input   ,readFully
returns the event descriptors of the bean that define the types of events fired by this bean   ,getEventSetDescriptors
"clears the focus owner at both the java and native levels if the focus owner exists and resides in the same context as the calling thread , otherwise the method returns silently   ",clearFocusOwner
processes events on this scroll bar   ,processEvent
creates this toolkit ' s implementation of checkbox using the specified peer interface   ,createCheckbox
returns a bitwise mask of dn dconstants that represent the set of drop actions supported by the drag source for the drag operation associated with this drag source context   ,getSourceActions
posts a 1 1 - style event to the event queue   ,postEvent
returns the y coordinate of the first control point in double precision   ,getCtrlY1
replaces an object in the list of parameters with a double   ,set
returns the number of color components in this color model   ,getNumColorComponents
sets the value of this scrollbar to the specified value   ,setValue
returns the buffered image op   ,getBufferedImageOp
returns an array of all the mouse motion listeners registered on this component   ,getMouseMotionListeners
"returns the sample in a specified band for the pixel located at x , y as a float   ",getSampleFloat
determine if the delivered int pixels intersect the region to be extracted and pass through only that subset of pixels that appear in the output region   ,setPixels
returns true if this rendering hints maps one or more keys to the specified value   ,containsValue
returns the width of this paper object ' s imageable area   ,getImageableWidth
invoked when a mouse button has been released on a component   ,mouseReleased
adds the specified action listener to receive action events from this list   ,addActionListener
called from bean context support read object before it deserializes the children   ,bcsPreDeserializationHook
decodes a string native for use as a java mime type   ,decodeJavaMimetYpe
replaces an object in the list of parameters with an integer   ,set
moves the focus up one focus traversal cycle from the current focus owner   ,upFocusCycle
reads a 16 bit char   ,readChar
returns a new input context instance   ,getInstance
gets the url of the document in which the applet is embedded   ,getDocumentBase
focuses the component after the current focus owner   ,focusNextComponent
returns the height of the text   ,getHeight
determines whether the class will honor the paint value method   ,isPaintable
returns the hashcode for this arc2d   ,hashCode
returns the current image used for this tray icon   ,getImage
"reports if an event set is in the "" default "" set   ",isInDefaultEventSet
returns the table as an array of bytes for a specified tag   ,getFontTable
returns the event mask associated with the listener   ,getEventMask
invoked when the text entered through an input method has changed   ,inputMethodTextChanged
returns an array of all the text listeners registered on this text component   ,getTextListeners
replaces an object in the list of parameters with a byte   ,set
"this method returns a point indicating the cursor location in screen coordinates at the moment this event occurred , or null if the cursor location is not specified for this event   ",getLocation
marks the file or directory named by this abstract pathname so that only read operations are allowed   ,setReadOnly
"renders a rendered image , applying a transform from image space into user space before drawing   ",drawRenderedImage
makes this frame displayable by connecting it to a native screen resource   ,addNotify
gets the input context for this window   ,getInputContext
determines whether the property editor can provide a custom editor   ,supportsCustomEditor
removes the current drop target listener unicast source   ,removeDropTargetListener
determines the minimum size of the target container using this layout manager   ,minimumLayoutSize
returns the minimum tile index in the x direction   ,getMinTileX
returns an array of all frames created by this application   ,getFrames
creates an alpha composite object with the specified rule and the constant alpha to multiply with the alpha of the source   ,getInstance
indicates whether or not this font can display a specified string   ,canDisplayUpTo
returns a string representing the state of this check box menu item   ,paramString
returns the bounds of this text layout   ,getBounds
gets the horizontal gap between components and between the components and the borders of the container   ,getHgap
"deprecated as of jdk version 1 1 , replaced by process mouse motion event mouse event   ",mouseMove
returns the child component of this window that will receive the focus when this window is focused   ,getMostRecentFocusOwner
"tests to see if two class objects , or their names are equal   ",classEquals
"gets the location of a specified offset in the current composed text , or of the selection in committed text   ",getTextLocation
"deprecated as of jdk version 1 1 , replaced by set size dimension   ",resize
returns an array of all the objects currently registered as foo listeners upon this button   ,getListeners
tests if the specified object is an instance of color model and if it equals this color model   ,equals
determines whether the rectangular shape is empty   ,isEmpty
gets a parameter as an object   ,getObjectParameter
returns an array of all the window state listeners registered on this window   ,getWindowStateListeners
creates and returns a copy of this object   ,clone
returns the stream to which specified key is associated within this applet context   ,getStream
"returns true if successive renderings that is , calls to create render context , parameter block with the same arguments may produce different results   ",isDynamic
returns the file descriptor associated with this stream   ,getFd
"queries document for the number of pages and the page format and printable for each page held in the pageable instance , document   ",setPageable
returns the bounds for the character with the maximum bounds in the specified graphics context   ,getMaxCharBounds
a convenience method to return a parameter as a double   ,getDoubleParameter
this method returns the component associated with this drop target context   ,getComponent
returns a text layout on the given character range   ,getLayout
determines the preferred size of the parent container using this grid bag layout   ,preferredLayoutSize
returns an array of all the awt event listeners registered on this toolkit which listen to all of the event types specified in the event mask argument   ,getAwteVentListeners
returns the total number of bands of image data   ,getNumBands
reads and returns one input byte   ,readByte
"returns the rendering style attributes for the text range , or null   ",getStyle
see the general contract of the read utf method of data input   ,readUtf
gets the bean ' s class object   ,getBeanClass
"determines the insets of this container , which indicate the size of the container ' s border   ",getInsets
constructs a rectangle2d of the appropriate precision to hold the parameters calculated to be the framing rectangle of this arc   ,makeBounds
returns the requested data array element from the specified bank as a float   ,getElemFloat
specifies the print quality for pages using these attributes   ,setPrintQuality
"calls drag drop end on the drag source listeners registered with this drag source context and with the associated drag source , and passes them the specified drag source drop event   ",dragDropEnd
handles the window lost focus event by invoking the window lost focus methods on listener - a and listener - b   ,windowLostFocus
returns the ascent of the text   ,getAscent
starts loading all images tracked by this media tracker with the specified identifier   ,waitForId
closes or hides all windows opened by this input method instance or its class   ,hideWindows
returns the default flavor map for this thread ' s class loader   ,getDefaultFlavorMap
returns true if the leading edge of the character was hit   ,isLeadingEdge
gets the length of the entire text contained in the text editing component except for uncommitted composed text   ,getCommittedTextLength
returns the y coordinate of the center of the framing rectangle of the shape in double precision   ,getCenterY
notify this instance that it may now render a gui   ,okToUseGui
returns the second control point   ,getCtrlP2
sets the currently selected check box in this group to be the specified check box   ,setSelectedCheckbox
tell whether this stream is ready to be read   ,ready
returns an iterator object that iterates along the shape object ' s boundary and provides access to a flattened view of the outline of the shape object ' s geometry   ,getPathIterator
sets the state of this frame obsolete   ,setState
"translates this rectangle the indicated distance , to the right along the x coordinate axis , and downward along the y coordinate axis   ",translate
gets the method that should be used to read the property value   ,getReadMethod
"a tile is about to be updated it is either about to be grabbed for writing , or it is being released from writing   ",tileUpdate
processes events on this button   ,processEvent
replaces an object in the list of parameters   ,set
gets the advance widths of the first 256 characters in the font   ,getWidths
replaces an object in the list of parameters with a short   ,set
"enables or disables this component , depending on the value of the parameter b   ",setEnabled
clones the page format argument and alters the clone to describe a default page size and orientation   ,defaultPage
creates the scrollbar ' s peer   ,addNotify
sets this transform to a shearing transformation   ,setToShear
returns a subset of the table as an array of bytes for a specified tag   ,getFontTable
set the cursor image to a specified cursor   ,setCursor
sets the requested data array element in the specified bank to the given double   ,setElemDouble
writes out a byte to the underlying output stream as a 1 - byte value   ,writeByte
reset the stream to the most recent mark   ,reset
gets the object that produces the pixels for the image   ,getSource
gets the bean context associated with this bean context child   ,getBeanContext
gets the offset within the composed text for the specified absolute x and y coordinates on the screen   ,getLocationOffset
returns the parent of the component returned by get changed   ,getChangedParent
returns an image which gets pixel data from the specified url   ,createImage
"returns the samples for a specified band for the specified rectangle of pixels in a float array , one sample per array element   ",getSamples
the service named has been registered   ,serviceAvailable
prepares an image for rendering   ,prepareImage
"creates a text hit info at the specified offset , associated with the character after the offset   ",afterOffset
returns the screen resolution in dots - per - inch   ,getScreenResolution
"deprecated as of jdk version 1 1 , replaced by get insets   ",insets
