Functional Description,Method Name
returns the rendering hints for this raster op   ,getRenderingHints
gets the label for this menu item   ,getLabel
finds and returns the applet in the document represented by this applet context with the given name   ,getApplet
removes a vetoable change listener from the listener list for a specific property   ,removeVetoableChangeListener
"adds the specified component to the layout , using the specified constraint object   ",addLayoutComponent
lays out the specified container   ,layoutContainer
subclasses may envelope to monitor child property changes   ,propertyChange
returns true if the specified object is a valid value for this key   ,isCompatibleValue
removes the specified bean context membership listener so that it no longer receives bean context membership events when the child components are added or removed   ,removeBeanContextMembershipListener
removes an image consumer from the list of consumers interested in data for this image   ,removeConsumer
obsolete as of java 2 platform v1 1   ,addItem
"creates a graphics2d , which can be used to draw into this volatile image   ",createGraphics
resets the buffer to the marked position   ,reset
"returns a shared instance of an awt key stroke , given a numeric key code and a set of modifiers   ",getAwtkEyStroke
returns the current composite in the graphics2d context   ,getComposite
handles the component resized event by invoking the component resized methods on listener - a and listener - b   ,componentResized
returns the bounds of the specified array of characters in the specified graphics context   ,getStringBounds
gets the service class that is the subject of this notification   ,getServiceClass
destroys the buffers created through this object   ,destroyBuffers
creates the popup menu ' s peer   ,addNotify
returns the hashcode for this round rectangle2d   ,hashCode
registers a created fontin this graphics environment   ,registerFont
invoked when the target clipboard of the listener has changed its available data flavors   ,flavorsChanged
"if the color model object is the same one that has already been converted , then simply passes the pixels through with the converted color model , otherwise converts the buffer of integer pixels to the default rgb color model and passes the converted buffer to the filter rgb pixels method to be converted one by one   ",setPixels
handles the component added container event by invoking the component added methods on listener - a and listener - b   ,componentAdded
writes a string to the output stream   ,writeBytes
subclasses may override this method to simply extend add semantics after the child has been added and before the event notification has occurred   ,childJustAddedHook
"returns whether the key in this event is an "" action "" key   ",isActionKey
removes a vetoable change listener from this bean context child so that it no longer receives events when the specified property changes   ,removeVetoableChangeListener
"tests whether or not a display , keyboard , and mouse can be supported in this environment   ",isHeadless
"deprecated as of jdk version 1 1 , replaced by append string   ",appendText
causes runnable to have its run method called in the dispatch thread of the system event queue   ,invokeAndWait
"creates a graphics2d , which can be used to draw into this buffered image   ",createGraphics
accept the drag   ,acceptDrag
sets the requested data array element in the specified bank from the given float   ,setElemFloat
gets the currently available services for this context   ,getCurrentServiceClasses
converts the buffer ' s contents into a string decoding bytes using the platform ' s default character set   ,toString
write an object to the underlying storage or stream   ,writeObject
returns a new font using the specified font type and the specified font file   ,createFont
writes two bytes to the output stream to represent the value of the argument   ,writeShort
remove an image consumer from the list of consumers interested in data for this image   ,removeConsumer
gets the instance of color model used to display the component on the output device   ,getColorModel
inserts a menu item with the specified label into this menu at the specified position   ,insert
reads a single line of text from the console   ,readLine
"returns an array of all windows , both owned and ownerless , created by this application   ",getWindows
resolves instances being deserialized to the predefined constants   ,readResolve
inserts a menu item into this menu at the specified position   ,insert
returns an array of all the action listeners registered on this tray icon   ,getActionListeners
drain any buffered data in object output stream   ,drain
sets the location of the end points and control points of this curve to the coordinates of the point2d objects at the specified offset in the specified array   ,setCurve
note : the event class is obsolete and is available only for backwards compatibility   ,controlDown
returns the default component to focus   ,getDefaultComponent
see the general contract of the read boolean method of data input   ,readBoolean
returns all display modes available for this graphics device   ,getDisplayModes
returns the component that should receive the focus when a window is made visible for the first time   ,getInitialComponent
returns an array of all the flavor listeners currently registered on this clipboard   ,getFlavorListeners
returns whether this graphics configuration supports the perpixel translucent kind of translucency   ,isTranslucencyCapable
determines whether this property editor is paintable   ,isPaintable
adds the specified mouse listener to receive mouse events from this component   ,addMouseListener
determines whether another object is equal to this color   ,equals
give native peers the ability to query the native container given a native component eg the direct parent may be lightweight   ,getNativeContainer
specifies the modal exclusion type for this window   ,setModalExclusionType
processes mouse wheel events occurring on this component by dispatching them to any registered mouse wheel listener objects   ,processMouseWheelEvent
removes a previously added key event post processor from this keyboard focus manager ' s post - processor chain   ,removeKeyEventPostProcessor
called when the hierarchy has been changed   ,hierarchyChanged
handles the action performed event by invoking the action performed methods on listener - a and listener - b   ,actionPerformed
"sets the focus traversal policy that will manage keyboard traversal of this container ' s children , if this container is a focus cycle root   ",setFocusTraversalPolicy
invoked when the mouse has been clicked on a component   ,mouseClicked
concatenates the current graphics2d transform with a rotation transform   ,rotate
returns the bounding box of the rescaled destination raster   ,getBounds2D
"adds an image consumer to the list of consumers interested in data for this image , and immediately starts delivery of the image data through the image consumer interface   ",startProduction
flips to the first card of the container   ,first
determines whether this property editor supports a custom editor   ,supportsCustomEditor
adds a listener to receive adjustment events when the value of the adjustable object changes   ,addAdjustmentListener
called by read object after default read object but prior to deserialization of any children   ,bcsPreDeserializationHook
reads a string in modified utf - 8 format   ,readUtf
associate this printer job with a new print service   ,setPrintService
"writes two bytes of length information to the output stream , followed by the modified utf - 8 representation of every character in the string s   ",writeUtf
"provides a formatted prompt , then reads a single line of text from the console   ",readLine
revalidates the component hierarchy up to the nearest validate root   ,revalidate
return true if this font contains attributes that require extra layout processing   ,hasLayoutAttributes
returns the number of bands samples per pixel in this raster   ,getNumBands
adds an image consumer to the list of consumers interested in data for this image   ,addConsumer
returns whether the specified container is the focus cycle root of this container ' s focus traversal cycle   ,isFocusCycleRoot
subclasses may envelope to monitor veto child property changes   ,vetoableChange
returns the print quality for pages using these attributes   ,getPrintQuality
returns true if this window will appear at the default location for the native windowing system the next time this window is made visible   ,isLocationByPlatform
this method enables the current bean info object to return an arbitrary collection of other bean info objects that provide additional information about the current bean   ,getAdditionalBeanInfo
"adds a separator line , or a hypen , to the menu at the current position   ",addSeparator
invoked when an item has been selected or deselected by the user   ,itemStateChanged
returns the transfer type used to transfer pixels by way of the get data elements and set data elements methods   ,getTransferType
decodes a string native for use as a data flavor   ,decodeDataFlavor
returns the image as one large tile for tile based images this will require fetching the whole image and copying the image data over   ,getData
handles the window activated event by invoking the window activated methods on listener - a and listener - b   ,windowActivated
returns an array of all the hierarchy listeners registered on this component   ,getHierarchyListeners
"requests that this component get the input focus , if this component ' s top - level ancestor is already the focused window   ",requestFocusInWindow
gets the base url   ,getCodeBase
gets the role of this object   ,getAccessibleRole
returns a clone of this data flavor   ,clone
returns the print resolution for pages using these attributes   ,getPrinterResolution
returns an array of all the mouse listeners registered on this tray icon   ,getMouseListeners
"this default implementation of the initialize method assumes all state held in objects of this type is exposed via the matching pairs of "" setter "" and "" getter "" methods in the order they are returned by the introspector   ",initialize
"calls drag enter on the drag source listeners registered with this drag source context and with the associated drag source , and passes them the specified drag source drag event   ",dragEnter
returns true if this is a combining glyph   ,isCombining
"returns the height , in 1 / 72nds of an inch , of the page   ",getHeight
"if the layout manager uses a per - component string , adds the component comp to the layout , associating it with the string specified by name   ",addLayoutComponent
writes the contents of the buffer to another character stream   ,writeTo
reads the next line of text from the input stream   ,readLine
returns the buffer capabilities for this buffer strategy   ,getCapabilities
returns the character index of the specified glyph   ,getGlyphCharIndex
removes the specified action listener so it no longer receives action events from this menu item   ,removeActionListener
returns an array of all the focus listeners registered on this component   ,getFocusListeners
returns the tile width in pixels   ,getTileWidth
returns true if rendering data was lost since last validate call   ,contentsLost
sets whether this window should appear at the default location for the native windowing system or at the current location returned by get location the next time the window is made visible   ,setLocationByPlatform
gets the accessible parent of this object   ,getAccessibleParent
this method is obsolete and supplied for backwards compatibility only ; new code should call adjust for gravity instead   ,adjustForGravity
handles the mouse released event by invoking the mouse released methods on listener - a and listener - b   ,mouseReleased
returns the level of the character at index   ,getCharacterLevel
"create a compatible writable raster with location minx , miny and size width , height specified by rect , a new sample model , and a new initialized data buffer   ",createCompatibleWritableRaster
deactivates the input method   ,deactivate
returns whether or not the meta modifier is down on this event   ,isMetaDown
returns the detail message string of this throwable   ,getMessage
add a vetoable change listener for a specific property   ,addVetoableChangeListener
gets the transform that is used to scale typographical points to pixels in this font render context   ,getTransform
returns the resulting multicast listener after removing the old listener from listener - l   ,removeInternal
presses a given key   ,keyPress
sets the owner of this decoder to owner   ,setOwner
returns the pixel bounds of the glyph at index when this glyph vector is rendered in a graphics with the given font render context at the given location   ,getGlyphPixelBounds
"transfers the focus to the next component , as though this component were the focus owner   ",transferFocus
remove a service   ,revokeService
adds a listener to receive item events when the state of an item is changed by the user   ,addItemListener
request the image or image producer to start delivering pixels and wait for all of the pixels in the rectangle of interest to be delivered or until the specified timeout has elapsed   ,grabPixels
returns the width in pixels   ,getWidth
sets the popup menu for this tray icon   ,setPopupMenu
adds a vetoable change listener to the listener list for a specific property   ,addVetoableChangeListener
restores this data flavor from a serialized state   ,readExternal
returns the height of the rendered image   ,getHeight
returns the icc profile for this icc color space   ,getProfile
sets the focus traversal keys for a given traversal operation for this container   ,setFocusTraversalKeys
determines whether or not the interior of the arc intersects the interior of the specified rectangle   ,intersects
gets the accessible context associated with this popup menu   ,getAccessibleContext
gets the specified font from the system properties list   ,getFont
gets the command name of the action event that is fired by this menu item   ,getActionCommand
returns an array of all the window listeners registered on this window   ,getWindowListeners
gets an iterator providing access to the entire text and attributes contained in the text editing component except for uncommitted text   ,getCommittedText
returns the number of characters represented by this text layout   ,getCharacterCount
skips over and discards n bytes of data from the input stream   ,skip
sets the constraints for the specified component in this layout   ,setConstraints
returns the cause of this exception the io exception that terminated the print job   ,getCause
"returns the focus traversal policy that will manage keyboard traversal of this container ' s children , or null if this container is not a focus cycle root   ",getFocusTraversalPolicy
returns the time stamp of when this event occurred   ,getWhen
"deprecated as of jdk version 1 1 , replaced by insert string , int   ",insertText
gets the accessible description of this object   ,getAccessibleDescription
returns whether or not the alt modifier is down on this event   ,isAltDown
"converts the components of a color , as specified by the default rgb model , to an equivalent set of values for hue , saturation , and brightness that are the three components of the hsb model   ",rgbToHsb
"deprecated as of jdk version 1 1 , replaced by get preferred sizeint , int   ",preferredSize
adds the specified window focus listener to receive window events from this window   ,addWindowFocusListener
returns true if the representation class is remote   ,isRepresentationClassRemote
returns true if the representation class can be serialized   ,isRepresentationClassSerializable
returns the logical bounds of the specified string in the specified font render context   ,getStringBounds
gets the input method request handler which supports requests from input methods for this component   ,getInputMethodRequests
deprecated font rendering is now platform independent   ,getPeer
returns whether this menu shortcut must be invoked using the shift key   ,usesShiftModifier
handles the window closed event by invoking the window closed methods on listener - a and listener - b   ,windowClosed
enables / disables scrolling in response to movement of the mouse wheel   ,setWheelScrollingEnabled
gets the method descriptors of the target listener interface   ,getListenerMethodDescriptors
retrieves the 6 specifiable values in the 3x3 affine transformation matrix and places them into an array of double precisions values   ,getMatrix
inserts the specified text at the specified position in this text area   ,insert
"writes an "" unshared "" object to the object output stream   ",writeUnshared
returns the current stroke in the graphics2d context   ,getStroke
"deprecated as of jdk version 1 1 , replaced by dispatch event   ",postEvent
gets the selected item on this scrolling list   ,getSelectedItem
get the font of this object   ,getFont
sets the location of the end points and control point of this quad curve2d to the specified point2d coordinates   ,setCurve
creates the peer for a drag source context   ,createDragSourceContextPeer
returns whether or not the alpha has been premultiplied in the pixel values to be translated by this color model   ,isAlphaPremultiplied
"returns the width , in 1 / 72nds of an inch , of the page   ",getWidth
checks to see if all images tracked by this media tracker that are tagged with the specified identifier have finished loading   ,checkId
a convenience method which locates factories for stream print services which can image 2d graphics   ,lookupStreamPrintServices
returns a hash code value for this job attributes   ,hashCode
processes events on this check box   ,processEvent
"returns the parent writable raster if any of this writable raster , or else null   ",getWritableParent
sets the new design time value for this bean context   ,setDesignTime
adds the specified mouse wheel listener to receive mouse wheel events from this component   ,addMouseWheelListener
returns a hashcode for this image graphic attribute   ,hashCode
returns the desktop instance of the current browser context   ,getDesktop
moves the focus up one focus traversal cycle   ,upFocusCycle
"specifies whether , for jobs using these attributes , the application should print all pages , the range specified by the return value of get page ranges , or the current selection   ",getDefaultSelection
writes a string as a sequence of bytes   ,writeBytes
sets the selection end for this text component to the specified position   ,setSelectionEnd
returns the index of the character hit   ,getCharIndex
