Method	Functional Description
isDirect	判断此char缓冲区是否是直接的。
createXAConnectionBuilder	创建一个新的 
               XAConnectionBuilder实例
endsWith	测试此路径是否以给定路径结束。
readBits	从流中读取一个位串并将其作为 
               long返回，第一位读取成为输出的最高位。
setMinimum	将模型的最小值设置为 
               newMinimum 。
getXmlVersion	作为 
               XML declaration的一部分指定此文档的版本号的属性。
createSubsetSampleModel	创建一个新的带状样本模型，其子集是这个带状样本模型的波段
getEventType	返回一个整数代码，指示光标指向的事件的类型。
getAnnotatedBounds	返回AnnotatedType对象的数组，这些对象表示使用类型来表示此TypeVariable表示的类型参数的上限。
setLayeredPane	管理内容窗格和在某些情况下管理菜单栏的容器
mismatch	查找并返回此缓冲区与给定缓冲区之间第一个不匹配的相对索引。
getLoggerLevel	已过时。
getServicesBeanInfo	获取 
               BeanInfo数组，该数组用于此ServiceProvider中静态可用的每个服务类或接口。
getTransferType	返回此颜色模型的传输类型
icSigAbstractClass	ICC Profile Class Signature：'abst'。
getSelectionPaths	返回所有选中值的路径
caretPositionChanged	当组合文本中的插入符号发生更改时调用。
icAbsoluteColorimetric	ICC配置文件渲染意图：AbsoluteColorimetric。
install	在将UI安装到JTextComponent的接口时调用。
getNextValue	返回 
               getValue()返回的对象之后的序列中的对象。
setPixels	从包含每个数组元素一个样本的int数组中设置像素矩形区域的所有样本
getName	返回集合中的 
               index名称项。
subMap	返回此映射部分的视图，其键的范围为 
               fromKey到 
               toKey 。
dragFrame	用户移动了框架。
layoutContainer	布置指定的容器。
getValue	返回序列的当前元素的值
mark	通过后续调用 
               reset标记要返回的流中的位置。
ancestorAdded	当通过调用setVisible（true）或将其添加到组件层次结构中使源或其祖先之一可见时调用。
initialize	初始化外观
capacity	返回此缓冲区的容量。
getModel	返回处理滚动条的四个基本属性的数据模型：minimum, maximum, value, extent
offerFirst	将指定元素插入此双端队列的前面，除非它违反容量限制。
getDisplayName	获取这个时代的文本表示。
tryTransfer	如果可以在超时过去之前执行此操作，则将元素传输给使用者。
setAsText	通过解析给定的String来设置属性值。
getCustomEditor	PropertyEditor可以选择提供编辑其属性值的完整自定义组件。
setElemDouble	将指定银行的请求数据数组元素设置为给定的双精度浮点数
setGroup	更新文件组所有者。
icSigPreview2Tag	ICC配置文件标记签名：'pre2'。
getAnnotatedOwnerType	如果此类型表示嵌套类型，则返回此类型所属的潜在注释类型。
setSelectionPaths	这被重写为不做任何事情；空选择模型不允许选择
performQuit	通知外部退出请求者退出将继续，并执行默认值QuitStrategy 。
minusYears	返回此 
               YearMonth的副本，并减去指定的年数。
getRangeSet	返回一个集合，代表此数字整形器中将被整形的所有Unicode范围
tryLock	只有在调用时它是空闲的才能获取锁。
offer	将指定的元素插入此队列中，如果它是立即可行且不会违反容量限制，返回 
               true在成功和 
               false ，如果当前没有空间可用。
position	检索指定的子字符串 
               searchstr出现在此 
               Clob对象表示的SQL 
               CLOB值中的字符位置。
getElementsAnnotatedWithAny	返回使用一个或多个给定注释类型注释的元素。
getTarget	此处理指令的目标。
icSigLabData	ICC配置文件颜色空间类型签名：'实验室'。
appReopened	应用程序重新打开时调用
hasArray	判断此缓冲区是否由可访问的双数组支持。
setBinaryStream	将此 
               RowSet对象命令中的指定参数设置为给定输入流。
startsWith	测试此路径是否以 
               Path ，通过转换给定的路径字符串构造，完全按照 
               startsWith(Path)方法指定的方式。
rowSetChanged	通知已注册的侦听器给定的 
               RowSet对象中的 
               RowSetEvent对象已更改其全部内容。
setNull	将指定参数设置为SQL 
               NULL 。
paramString	返回此JToggleButton的字符串表示
getDesignAxisDefaults	返回每个轴默认设计值的数组
stopCellEditing	告诉编辑停止编辑并接受任何部分编辑的值作为编辑器的值。
setResult	将与此 
               Result关联的 
               TransformerHandler设置为用于转换。
toString	将此日期时间输出为 
               String 。
open	打开具有指定格式的行，使该行获取任何所需的系统资源并开始运行。
getWholeText	返回 
               Text节点逻辑上相邻的文本节点到此节点的所有文本，按文档顺序连接。
putShort	用于写入短值的绝对 
               put方法 
               （可选操作） 。
retainAll	仅保留此集合中包含在指定集合中的元素（可选操作）。
contains	检查指定的点是否在此对象的边界内，其中点的x和y坐标定义为相对于对象的坐标系。
getRowSorter	返回负责排序的对象
getObjectInstance	使用位置或引用信息以及指定的属性创建对象。
hasAlpha	返回此颜色模型是否支持alpha
clear	从此列表中删除所有元素（可选操作）。
add	此方法将一个事件添加到使用者。
getStringBounds	返回指定字体渲染上下文中指定字符数组的逻辑边界
add	将指定的属性添加到此属性集（如果该属性集尚不存在），首先删除与指定属性值相同的属性类别中的任何现有值。
hierarchyChanged	更改层次结构时调用。
append	将指定的字符序列追加到此 
               Appendable 。
exceptionally	返回一个新的CompletionStage，当该阶段异常完成时，将以此阶段的异常作为所提供函数的参数执行。
newInstance	此方法创建XMLEventAllocator的实例。
visit	访问注释值。
setComparator	设置将用于对焦点遍历周期中的组件进行排序的比较器
isSupportedLookAndFeel	如果底层平台支持并允许此外观，则返回true
hasArray	判断此缓冲区是否由可访问的char数组支持。
replaceAll	将该列表的每个元素替换为将运算符应用于该元素的结果。
getEncoding	返回输入编码（如果已知）或null（如果未知）
getForegroundAt	返回索引处的选项卡前景颜色
floorKey	返回小于或等于给定键的最大键，如果没有这样的键，则 
               null 。
getLeading	确定此字体度量对象描述的字体的标准前导
evaluateExpression	在指定的 
               source的上下文中计算XPath表达式，并返回指定的结果。
getIndexOfChild	返回父级中的子索引。
add	向正在构建的流添加元素。
reset	将此缓冲区的位置重置为先前标记的位置。
element	检索但不删除此队列的头部。
setAutoCreateColumnsFromModel	设置此表的自动从模型创建列标志
higherKey	返回严格大于给定键的最小键，如果没有这样的键，则返回 
               null 。
isConsumer	确定指定的 
               ImageConsumer对象当前是否已在此 
               ImageProducer注册为其消费者之一。
create	给定RenderContext和包含操作源和参数的ParameterBlock，创建渲染。
setColor	将这个图形上下文的当前颜色设置为指定的颜色
visitType	访问类型元素。
setRowSorter	设置行排序器
startCDATA	报告CDATA部分的开头。
getAvailableInstruments	获得合成器附带的乐器列表。
shardingKey	指定创建连接时要使用的 
               shardingKey
getConstantValue	如果这是一个初始化为编译 
               final量的 
               final字段，则返回此变量的值。
notifyClientWindowChange	通知这个输入法客户端窗口位置或状态的变化
getP	返回素数， 
               p 。
getControls	从实现此接口的对象中检索 
               Control的数组。
getBytes	返回一个字节数组，表示此 
               java.sql.RowId对象指定的SQL 
               ROWID的值。
getAccessibleRowDescription	返回表中指定行的描述。
andThen	返回首先将此运算符应用于其输入的 
               after运算符，然后将 
               after运算符应用于结果。
setCharacterSubsets	设置允许此输入方法输入的Unicode字符集的子集。
hashCode	返回此属性集的哈希码值。
getOwner	阅读文件所有者。
close	关闭此频道。
order	检索此缓冲区的字节顺序。
setArmed	将按钮标记为武装或非武装。
getBigDecimal	已过时。

使用getBigDecimal(int parameterIndex)或getBigDecimal(String parameterName)
imageProgress	报告相关 
               ImageReader当前 
               read电话的大致完成程度。
createMultiDocPrintJob	创建一个可以打印multiDoc的作业。
itemStateChanged	在用户选择或取消选择项目时调用。
deiconifyFrame	通常，删除任何存在的图标表示，并将帧恢复为原始大小和位置。
getAnnotatedOwnerType	如果此类型表示嵌套类型，则返回此类型所属的潜在注释类型。
runAfterEither	返回一个新的CompletionStage，当该阶段或其他给定阶段正常完成时，执行给定的操作。
treeNodesChanged	在某个节点（或一组兄弟节点）以某种方式更改后调用。
open	打开资源，返回输入流以读取模块中的资源。
getSubElements	此方法应返回包含接收菜单元素的子元素的数组。
getAsText	获取属性值作为文本。
isSupported	检查是否支持指定的字段。
treeStructureChanged	在树从给定节点向下彻底更改结构之后调用。
writeToString	如上所述在 
               LSSerializer接口的一般描述中序列化指定的节点。
add	将整个流添加到输出流，在inputStream参数上调用next（），直到hasNext（）返回false这应该被视为一个方便的方法，它将对事件阅读器中的所有事件执行以下循环并在每个事件上调用add事件。
nextTag	跳过任何空格（isWhiteSpace（）返回true），COMMENT或PROCESSING_INSTRUCTION，直到达到START_ELEMENT或END_ELEMENT。
getArray	以Java编程语言中的数组形式检索此 
               Array对象指定的SQL 
               ARRAY值的内容。
getArray	检索SQL的切片 
               ARRAY通过该指定值 
               Array对象，与指定的开始 
               index和含有最多 
               count SQL数组中连续元素。
processMouseEvent	实现为菜单元素，不做任何操作
getTypeParameters	返回的数组 
               TypeVariable对象表示通过此表示的一般声明声明的类型变量 
               GenericDeclaration目的，在声明的顺序。
push	如果可以在不违反容量限制的情况下立即执行此操作， 
               IllegalStateException到此双端队列表示的堆栈（换句话说，在此双端队列的头部），如果当前没有可用空间则抛出 
               IllegalStateException 。
activateFrame	通常，指示此框架具有焦点。
setAccessibleRowHeader	设置行标题。
getScrollableTracksViewportHeight	如果视口应始终强制此Scrollable的高度与视口的高度匹配，则返回true。
isOpen	判断此频道是否已打开。
resolveEntity	检索资源。
getBottomComponent	返回分隔符下方或右侧的组件
borderInsets	边界插入。
addMember	不推荐使用，要删除：此API元素将在以后的版本中删除。
newDirectoryStream	打开由给定路径标识的目录，返回 
               SecureDirectoryStream以迭代目录中的条目。
getProperty	从此图像的属性集中获取属性。
getConnection	检索 
               Connection传递给该对象 
               RowSet对象。
of	返回包含任意数量元素的不可修改集。
size	返回此集合中的元素数（基数）。
removeAll	删除此Cookie存储中的所有Cookie。
setDocumentHandler	已过时。
setTime	使用给定的 
               Calendar对象将指定参数设置为给定的 
               java.sql.Time值。
getPropertyInfo	获取有关此驱动程序的可能属性的信息。
decreaseButton	减少按钮。
getLayeredPane	返回layeredPane。
getPolicyQualifiers	返回与此节点表示的有效策略关联的策略限定符集。
next	返回迭代中的下一个元素。
readInt	从流中读取4个字节，并（概念上）根据当前字节顺序连接它们，并将结果返回为 
               int 。
getAnnotation	返回指定类型的这种构造的注解，如果这样的注释 
               存在 ，否则 
               null 。
enableClientWindowNotification	启用或禁用指定输入法的当前客户端窗口的位置和状态的通知
getSuperclass	返回此类型元素的直接超类。
isSymbolicLink	判断文件是否为符号链接。
handle	检索或显示提供的回调中请求的信息。
setLocale	设置格式化诊断和其他本地化数据时要应用的区域设置。
filter	将源栅格中的图像数据进行颜色转换
executeCall	已过时。

没有替代品
removeKeyStrokeBinding	从键映射中删除绑定。
plusMonths	返回此 
               ZonedDateTime的副本，并添加指定的月数。
getShowVerticalLines	如果表在单元格之间绘制垂直线，则返回true，否则返回false
remove	从此双端队列中删除第一次出现的指定元素。
handleAbout	当要求应用程序显示其关于对话框时调用。
submit	提交值返回任务以执行并返回表示任务的挂起结果的Future。
onClose	返回具有附加关闭处理程序的等效流。
userSessionActivated	用户会话切换到时调用。
isEndDocument	一个实用程序函数，用于检查此事件是否为EndDocument。
getVersion	获取在xml声明中声明的xml版本如果未声明，则返回null
getBlockIncrement	返回给定块（通常是“页面”上/下请求）更改滚动条值的量
setCharacterStream	将此 
               RowSet对象命令中的指定参数设置为给定的 
               java.io.Reader值。
controlChange	当Sequencer遇到并处理了此侦听器感兴趣的控件更改事件时调用。
setNClob	将指定参数设置为 
               Reader对象。
setHorizontalScrollBar	将控制视口水平视图位置的滚动条添加到滚动面板中
isPeriodic	如果此任务是定期的，则返回 
               true 。
getAnnotatedOwnerType	如果此类型表示嵌套类型，则返回此类型所属的潜在注释类型。
thenCombineAsync	返回一个新的CompletionStage，当这个和另一个给定的阶段都正常完成时，使用提供的执行器执行，两个结果作为提供的函数的参数。
getAccessibleContext	获取与此JTextArea关联的可访问上下文
icSigBToA0Tag	ICC配置文件标记签名：'B2A0'。
reconvert	开始重新转换操作。
getAlphaRaster	返回表示图像alpha通道的栅格，从输入栅格中提取，前提是此颜色模型的像素值将颜色和alpha信息作为单独的空间波段表示，例如
adjustInto	返回指定时态对象的副本，其值为此字段集。
compareTo	比较此缓冲区与另一个缓冲区。
tableRowsInserted	从JTabbedPane中移除指定的组件
print	使用指定的作业属性打印文档。
mouseClicked	在组件上单击（按下并释放）鼠标按钮时调用。
setCalendarField	更改下一个值和上一个值方法计算的日期值更改的大小
hasService	报告此上下文中当前是否提供给定服务。
remove	从此属性集中删除指定的属性（如果存在）。
openFiles	当要求应用程序打开文件列表时调用。
getData	计算并返回缓冲图像的任意区域
createContext	创建并返回用于生成颜色模式的PaintContext 。
getURL	以 
               java.net.URL对象的形式检索JDBC 
               DATALINK参数的值。
getAccessibleContext	获取与此JToggleButton关联的可访问上下文
range	获取指定字段的有效值范围。
isLeapYear	根据ISO符号日历系统规则，检查年份是否为闰年。
array	返回支持此缓冲区的char数组 
               （可选操作） 。
setFloatable	设置可浮动属性，用户必须为true才能移动工具栏
rewind	倒回这个缓冲区。
compareTo	比较此缓冲区与另一个缓冲区。
getBankData	返回所有银行的数据数组
removeElementAt	删除特定索引处的项目。
removeMenuDragMouseListener	从菜单项中移除菜单拖动鼠标监听器
paintBorder	如果边框绘制属性为true，则绘制进度条的边框
setLogWriter	将此 
               DataSource对象的日志 
               DataSource设置为给定的 
               java.io.PrintWriter对象。
getAccessibleParent	获取此对象的可访问父对象
isStartElement	一个实用程序函数，用于检查此事件是否为StartElement。
addLayoutComponent	如果布局管理器使用每个组件的字符串，则将组件 
               comp添加到布局，并将其与 
               name指定的字符串相关联。
setSelected	设置按钮的选中状态
getWritableTileIndices	返回Point对象的数组，指示要检出哪些切片以进行写入。
compareTo	比较此缓冲区与另一个缓冲区。
isNativeMethod	如果包含此堆栈帧表示的执行点的方法是本机方法，则返回 
               true 。
getPrefix	获取uri绑定的前缀
minusSeconds	返回此 
               ZonedDateTime的副本，并减去指定的秒数。
join	加入多播组以开始接收发送给该组的所有数据报，并返回成员资格密钥。
offerLast	在此双端队列的末尾插入指定的元素，除非它违反容量限制。
icSigScreeningDescTag	ICC配置文件标记签名：'scrd'。
setNClob	将指定参数设置为 
               Reader对象。
drawRoundRect	使用这个图形上下文的当前颜色绘制一个带有圆角的矩形轮廓
atEndOfMonth	在月底返回 
               LocalDate 。
getRowCount	返回可视节点的数量
menuSelectionChanged	当从菜单选择中添加或删除 
               MenuSelectionManager时，请 
               MenuElement 。
getEditorComponent	返回应添加到此编辑器的树层次结构中的组件
getService	通过调用 
               BeanContextServices ，该方法从这个请求服务的实例 
               BeanContextServiceProvider 。
setNativeMethodPrefix	此方法通过允许使用应用于名称的前缀进行重试来修改本机方法解析的失败处理。
getPooledConnection	尝试建立可用作池连接的物理数据库连接。
getReceiver	获得此发射器将传送MIDI信息的当前接收器。
tableChanged	此细粒度通知告诉侦听器更改的单元格，行或列的确切范围。
setLocation	设置弹出菜单左上角的位置，使用x，y坐标
getValue	已过时。
spliterator	在此集合中的元素上创建 
               Spliterator 。
visitInt	访问注释中的 
               int值。
values	返回此映射中包含的值的Collection视图。
setBlob	将指定参数设置为 
               InputStream对象。
getRoot	所述 
               root节点的 
               TreeWalker ，它被创建时指定。
getPassword	检索用于创建数据库连接的密码。
setAsciiStream	将此 
               RowSet对象命令中的指定参数设置为给定输入流。
setColumnLabel	设置用于打印输出的建议列标题，并显示给定的 
               String （如果有）。
getData	将图像作为一个大瓦片返回
getStandardOffset	获取此区域中指定时刻的标准偏移量。
setPublicId	此输入源的公共标识符。
isConsumer	确定一个图像消费者是否在当前对此图像数据感兴趣的消费者列表上
visitLong	在注释中访问 
               long值。
create	创建一个RenderedImage，表示给定ParameterBlock和RenderingHints的成像操作（或操作链）的结果。
getAcl	读取访问控制列表。
processMouseEvent	处理鼠标事件。
getAutoCreateColumnsFromModel	跟踪表格列模型的选择模型变化
put	相对批量 
               放置方法 
               （可选操作） 。
isBorderOpaque	返回边框是否不透明。
getFont	获取此字体度量对象描述的字体
negated	返回一个新实例，此期间的每个金额都被否定。
size	返回此双端队列中的元素数。
depth	目前的深度。
setInitialValue	处理菜单中的鼠标拖拽
add	向选项卡窗格添加一个组件
thenCombine	返回一个新的CompletionStage，当这个和另一个给定的阶段都正常完成时，执行两个结果作为所提供函数的参数。
visitFileFailed	为无法访问的文件调用。
columnMoved	告诉听众列重新定位。
comparingByValue	返回进行比较的比较Map.Entry通过使用所述给定值Comparator 。
accept	对给定的参数执行此操作。
getDTDType	获取此属性的类型，默认为String“CDATA”
getObject	检索此 
               Ref对象引用的SQL结构类型实例。
setNClob	将指定参数设置为 
               Reader对象。
getValueIsAdjusting	如果对value属性的当前更改是一系列更改的一部分，则返回true。
setTableName	将指定列的表名（如果有）设置为给定的 
               String 。
importedKeyRestrict	对于列 
               UPDATE_RULE ，指示如果主键已由另一个表作为外键导入，则可能不会更新主键。
matchSystem	尝试通过systemId在目录中查找匹配的条目。
setType	将此 
               RowSet对象的类型设置为给定类型。
uis	包含真实UI的向量。
comparingByKey	返回一个比较器， 按键以自然顺序比较Map.Entry 。
minus	返回与此对象相同类型的对象，并减去一定量。
getTransform	返回此变换操作使用的仿射变换
treeCollapsed	只要树中的项目已折叠，就会调用此方法。
setBlob	将指定参数设置为 
               InputStream对象。
replaceWholeText	用指定的文本替换当前节点的文本和所有逻辑上相邻的文本节点。
submit	提交Runnable任务以执行并返回表示该任务的Future。
showInternalInputDialog	返回显示的选项类型
endDraggingFrame	此方法表示拖动会话结束。
position	检索此 
               Blob对象指定的 
               BLOB值中的字节位置， 
               pattern开始于该对象。
isEnabled	指示是否可以通过输入设备（例如鼠标指针）选择或触发按钮。
getBounds	返回一个 
               Type对象的数组，表示此类型变量的上限。
getRawType	返回表示声明此类型的类或接口的 
               Type对象。
getPoint2D	给定源图像中的一个点，返回相应目标点的位置。
thenComparingInt	返回一个字典顺序比较器，其中包含一个提取 
               int排序键的函数。
getAnnotationMirrors	返回 
               直接出现在此构造上的注释。
range	获取指定字段的有效值范围。
getIconHeight	返回图标的高度。
asReadOnlyBuffer	创建一个新的只读双缓冲区，共享此缓冲区的内容。
focusColor	聚焦单选按钮的颜色。
getSpecified	True如果在实例文档中显式指定了此属性， 
               false 。
copyData	计算RenderedImage的任意矩形区域并将其复制到调用者提供的WritableRaster中。
visitNoType	访问NoType实例。
update	使用指定的字节更新当前校验和。
bestRowPseudo	表示最佳行标识符是伪列。
withYear	返回此 
               ZonedDateTime的副本，并更改年份。
editingStopped	这告诉听众编辑器已经结束编辑
readUnsignedInt	从流中读取4个字节，并（概念上）根据当前字节顺序连接它们，将结果转换为long，用 
               0xffffffffL对其进行 
               0xffffffffL ，以便剥离任何符号扩展位，并将结果作为无符号返回 
               long值。
descendingKeySet	返回此映射中包含的键的反向顺序NavigableSet视图。
getSubElements	此方法应返回包含接收菜单元素的子元素的数组。
retransformClasses	重新转换提供的类集。
getStream	已过时。
icSigGreenColorantTag	ICC配置文件标记签名：'gXYZ'。
getModel	返回处理滑块的三个基本属性的有界范围模型：minimum, maximum, value
setNull	将指定参数设置为SQL 
               NULL 。
setNString	将指定参数设置为给定的 
               String对象。
setRangeProperties	此方法使用单个方法调用设置所有模型的数据。
poll	检索并删除下一个监视密钥，如果不存在，则检索并删除 
               null 。
isPressed	指示是否按下按钮。
register	使用监视服务注册此路径所在的文件。
setAsciiStream	将指定参数设置为给定输入流，该输入流将具有指定的字节数。
ofSystem	返回定位 
               系统模块的模块查找器。
setBinaryStream	将指定参数设置为给定输入流，该输入流将具有指定的字节数。
menuSelected	选择菜单时调用。
setRowId	将指定参数设置为给定的 
               java.sql.RowId对象。
readInt	读取四个输入字节并返回 
               int值。
minus	返回与此对象相同类型的对象，并减去一定量。
addTransformer	注册随附的变压器。
setOrientation	将滚动条的方向设置为垂直或水平
getFeature	此方法返回一个专用对象，该对象实现指定功能和版本的专用API，如 
               DOM Features中所述 。
getPolyPressure	获得按下指定键的压力。
showInternalConfirmDialog	返回消息类型
visitUnion	访问联合类型。
getPeerPort	返回此会话中对等方的端口号。
reversed	返回一个比较器，它强制执行此比较器的反向排序。
read	读取资源，返回包含资源内容的字节缓冲区。
evaluate	在指定的 
               InputSource的上下文中计算已编译的XPath表达式，并将结果作为指定的类型返回。
createCompatibleDestImage	创建具有正确大小和波段数的零化目标图像
isItalic	表明此字体对象的样式是否为斜体
applyAsLong	将此函数应用于给定的参数。
accept	测试此事件是否属于此流的一部分。
icSigViewingCondDescTag	ICC配置文件标记签名：'vued'。
endCDATA	报告CDATA部分的结尾。
icSigGamutTag	ICC配置文件标记签名：'gamt'。
add	如果可以在不违反容量限制的情况下立即执行此操作，则将指定的元素插入此队列，成功时返回 
               true ，如果当前没有空间，则抛出 
               IllegalStateException 。
setAccessibleCaption	设置表格的标题。
isBefore	检查此日期时间的瞬间是否在指定日期时间之前。
remove	从接收者处移除 
               index的孩子。
multipliedBy	返回一个新实例，此期间此时间段内的每个金额乘以指定的标量。
getLineNumber	返回当前事件结束的行号，如果没有可用则返回-1。
getAnnotatedBounds	返回此类型变量的潜在注释边界。
procedureColumnResult	表示该列存储结果。
icSigMeasurementTag	ICC配置文件标记签名：'meas'。
dispatchEvent	将事件调度到输入方法。
writeStartElement	将开始标记写入输出。
connect	尝试与给定的URL建立数据库连接。
isSpecified	除非DTD默认提供属性值，否则返回true。
getMinimum	返回最小可接受值。
setNClob	将指定参数设置为 
               Reader对象。
format	使用指定的格式化程序格式化此日期。
getKeyStrokeForEvent	返回表示生成给定键事件的键击的键击
plus	返回与此对象具有相同类型的对象，并添加指定的句点。
setScale	将指定列的小数点右边的位数设置为给定的 
               int 。
getLogWriter	检索此 
               DataSource对象的日志 
               DataSource 。
remove	从JTabbedPane中移除指定的组件
decreaseButton	减少按钮。
icSigSpaceBCLR	ICC配置文件颜色空间类型签名：'BCLR'。
getMnemonicAt	返回用于访问指定选项卡的键盘助记符
menuSelectionChanged	当从菜单选择中添加或删除 
               MenuSelectionManager时，请 
               MenuElement 。
getSampleDouble	以double形式返回位于x,y处像素的指定波段中的样本
subMap	返回此映射部分的视图，其键的范围从 
               fromKey （包括 
               toKey ）到 
               toKey （独占）。
thenComparingLong	返回一个字典顺序比较器，其中包含一个提取 
               long排序键的函数。
writeString	将下一个属性作为Java编程语言中的 
               String写入流中。
setVisible	设置弹出菜单的可见性
getTextLocation	获取当前组合文本中指定偏移量的位置，或获取提交文本中选定内容的位置。
getCtrlKey	用于指示在触发事件期间是否按下了“ctrl”键。
compareTo	将这个年代表与另一个年表进行比较。
getStart	返回序列中的第一个日期
getPath	将路径字符串或从路径字符串连接时的字符串序列转换为Path。
setExpandedState	设置此JTree的展开状态
getNestingKind	返回此类型元素的 
               嵌套类型。
icHdrProfileID	ICC配置文件标题位置：配置文件的ID。
getOffscreenBuffer	返回应与组件c一起用作双缓冲的屏幕外缓冲区
setBlob	将指定参数设置为 
               InputStream对象。
insertUpdate	提供有关插入文档的通知。
menuDragMouseEntered	当拖动的鼠标进入菜单组件的显示区域时调用。
setValue	改变该模型的当前值，通常该值由所显示的 
               editor一个的一部分 
               JSpinner 。
handlePreferences	当要求应用程序显示其首选项UI时调用。
add	如果指定的属性值尚不存在，则将其添加到此属性集中，首先删除与指定属性值相同的属性类别中的任何现有值（可选操作）。
isEnabled	指示是否可以通过输入设备（例如鼠标指针）选择或触发按钮。
processKeyEvent	实现为菜单元素，不做任何操作
getStringBounds	返回指定图形上下文中指定字符数组的边界
removeNamedItemNS	删除由本地名称和名称空间URI指定的节点。
printJobNoMoreEvents	被叫通知客户不再发送任何事件。
windowInit	构造函数调用以正确初始化JWindow
writeClob	将SQL 
               CLOB值写入流。
setSize	设置指定条目的大小
getTileWidth	返回tile宽度（以像素为单位）。
getBaseType	检索此 
               Array对象指定的数组中元素的JDBC类型。
adjustSizes	通过给定量调整指定的一组大小
user	返回进程的用户。
getIDs	检索属性集中属性的ID的枚举。
of	返回包含三个元素的不可修改集。
endDraggingFrame	此方法表示拖动会话结束。
isDefaultNamespaceDeclaration	如果此属性声明默认命名空间，则返回true
getBoolean	使用Java编程语言中的 
               boolean检索JDBC 
               BIT或 
               BOOLEAN参数的值。
getScrollableTracksViewportHeight	返回false以表示视口的高度不决定表的高度，除非getFillsViewportHeight为true且表的首选高度小于视口的高度
getOwnerType	返回表示此类型所属类型的 
               Type对象。
setNull	将此 
               RowSet对象的SQL命令中的指定参数设置为SQL 
               NULL 。
getValue	返回此日期序列中的当前元素
setReadOnly	更新只读属性的值。
dateYearDay	从时代，年代和日期字段中获得此年表中的本地日期。
focusColor	聚焦按钮的颜色。
removeAttributes	删除元素的一组属性。
isValid	判断此监视键是否有效。
serialVersionUID	设置的类型指纹，表示与该类型的先前版本的序列化兼容性。
doAccessibleAction	在树节点上执行指定的动作
setURL	将指定参数设置为给定的 
               java.net.URL值。
asMemberOf	当该元素被视为给定类型的成员或以其他方式直接包含时，返回该元素的类型。
with	返回与此对象相同类型的调整对象，并进行调整。
setEditable	确定树是否可编辑
put	相对 
               put方法 
               （可选操作） 。
next	返回列表中的下一个元素并前进光标位置。
intervalAdded	在index0中的索引之后发送，index1间隔已插入数据模型中。
uninstallingUI	被叫通知ComboPopup UI正在卸载。
lowerEntry	返回与严格小于给定键的最大键关联的键 - 值映射，如果没有此键，则 
               null 。
getDocumentURI	文档的位置或 
               null如果未定义）或 
               Document是使用 
               DOMImplementation.createDocument创建的。
getDouble	检索JDBC的价值 
               DOUBLE参数为 
               double的Java编程语言。
checkServerTrusted	给定对等方提供的部分或完整证书链，构建到受信任根的证书路径，如果可以验证，则返回，并且基于身份验证类型对服务器SSL身份验证进行信任。
getListCellRendererComponent	返回已配置为显示指定值的组件。
getColumnCount	返回模型中的列数。
getDuration	获取此单位的持续时间，可能是估计值。
setIndeterminate	设置进度条的不确定属性，决定进度条是确定模式还是不确定模式
